variable_name,type,category,sensitive,source,contexts
ROUNDCUBEMAIL_SMTP_PORT,integer,services,no,docker-compose,"roundcube"
ROUNDCUBEMAIL_IMAP_PORT,integer,services,no,docker-compose,"roundcube"
ROUNDCUBEMAIL_SKIN,string,services,no,docker-compose,"roundcube"
MAIL_DOMAIN,string,services,no,docker-compose,"nginx"
POSTFIX_CMD_PATH,path,services,no,docker-compose,"postfix-exporter"
TLS_FLAVOR,string,services,no,docker-compose,"mailu-frontend"
POSTMASTER,string,services,no,docker-compose,"mailu-frontend"
ADMIN,string,services,no,docker-compose,"mailu-backend"
ROUNDCUBE_SKIN,string,services,no,docker-compose,"mailu-roundcube"
ROUNDCUBE_DEFAULT_HOST,string,services,no,docker-compose,"mailu-roundcube"
ROUNDCUBE_DEFAULT_PORT,integer,services,no,docker-compose,"mailu-roundcube"
POSTFIX_LOG_PATH,path,services,no,docker-compose,"postfix-exporter"
POSTFIX_SHOWQ_PATH,path,services,no,docker-compose,"postfix-exporter"
GF_SECURITY_ADMIN_USER,string,services,no,docker-compose,"grafana"
GF_USERS_ALLOW_SIGN_UP,boolean,services,no,docker-compose,"grafana"
GF_SERVER_ROOT_URL,url,services,no,docker-compose,"grafana"
GF_SECURITY_ALLOW_EMBEDDING,boolean,services,no,docker-compose,"grafana"
TZ,string,services,no,docker-compose,"grafana;netbox-postgres;glpi-db;glpi"
GF_DEFAULT_TIMEZONE,string,services,no,docker-compose,"grafana"
cluster.name,string,services,no,docker-compose,"opensearch-node1"
node.name,string,services,no,docker-compose,"opensearch-node1"
discovery.type,string,services,no,docker-compose,"opensearch-node1"
bootstrap.memory_lock,boolean,services,no,docker-compose,"opensearch-node1"
OPENSEARCH_JAVA_OPTS,string,services,no,docker-compose,"opensearch-node1"
OPENSEARCH_HOSTS,json,services,no,docker-compose,"opensearch-dashboards"
HA_ACTIVE,boolean,services,no,docker-compose,"wikijs"
OIDC_ISSUER,url,services,no,docker-compose,"wikijs"
OIDC_CLIENT_ID,string,services,no,docker-compose,"wikijs"
OIDC_REDIRECT_URI,url,services,no,docker-compose,"wikijs"
OIDC_USERINFO_ENDPOINT,url,services,no,docker-compose,"wikijs"
OIDC_DISCOVERY,url,services,no,docker-compose,"wikijs"
OIDC_SCOPE,string,services,no,docker-compose,"wikijs"
ROCKET_WORKERS,integer,services,no,docker-compose,"vaultwarden"
ALLOWED_HOSTS,string,services,no,docker-compose,"netbox-worker;netbox"
CORS_ORIGIN_ALLOW_ALL,boolean,services,no,docker-compose,"netbox-worker;netbox"
CSRF_TRUSTED_ORIGINS,string,services,no,docker-compose,"netbox-worker;netbox"
EMAIL_FROM,string,services,no,docker-compose,"netbox-worker;netbox"
EMAIL_PORT,string,services,no,docker-compose,"netbox-worker;netbox"
EMAIL_SERVER,string,services,no,docker-compose,"netbox-worker;netbox"
EMAIL_TIMEOUT,integer,services,no,docker-compose,"netbox-worker;netbox"
EMAIL_USE_SSL,string,services,no,docker-compose,"netbox-worker;netbox"
EMAIL_USE_TLS,string,services,no,docker-compose,"netbox-worker;netbox"
GRAPHQL_ENABLED,boolean,services,no,docker-compose,"netbox-worker;netbox"
LOGIN_REQUIRED,string,services,no,docker-compose,"netbox-worker;netbox"
LOGOUT_REDIRECT_URL,string,services,no,docker-compose,"netbox-worker;netbox"
METRICS_ENABLED,boolean,services,no,docker-compose,"netbox-worker;netbox"
SUPERUSER_EMAIL,string,services,no,docker-compose,"netbox-worker;netbox"
SUPERUSER_NAME,string,services,no,docker-compose,"netbox-worker;netbox"
SKIP_SUPERUSER,string,services,no,docker-compose,"netbox-worker;netbox"
TIME_ZONE,string,services,no,docker-compose,"netbox-worker;netbox"
BAUDRATE,integer,services,no,docker-compose,"printshare"
PORT_HINT,string,services,no,docker-compose,"printshare"
PHOMEMO_SCRIPT,path,services,no,docker-compose,"printshare"
PRINTER_PORT,string,services,no,docker-compose,"printshare"
CUPS_PRINTER,string,services,no,docker-compose,"printshare"
PYTHONUNBUFFERED,boolean,services,no,systemd,"clear-trading-agent;marketing-email-drip;ollama-gpu-coordinator;marketing-api;diretor;eddie-telegram-bot;eddie-expurgo;agent-network-exporter;coordinator;crypto-agent@;eddie-calendar;marketing-x-posts;rss-sentiment-exporter;banking-metrics-exporter;tape-component-quality-exporter;bn-acervo-agent;candle-collector;marketing-daily-report;notebook-power-agent"
PYTHONPATH,path,services,no,systemd,"clear-trading-agent;marketing-email-drip;ollama-finetune;marketing-x-posts;marketing-daily-report;rss-sentiment-exporter;candle-collector;marketing-api"
X_AGENT_URL,url,services,no,systemd,"marketing-x-posts"
OLLAMA_GPU0_HOST,url,services,no,systemd,"ollama-gpu-coordinator"
OLLAMA_GPU1_HOST,url,services,no,systemd,"ollama-gpu-coordinator"
GPU_COORD_PORT,integer,services,no,systemd,"ollama-gpu-coordinator"
GPU_COORD_BUSY_WAIT_SEC,integer,services,no,systemd,"ollama-gpu-coordinator"
GPU_COORD_REQUEST_TIMEOUT_SEC,integer,services,no,systemd,"ollama-gpu-coordinator"
PYTHONDONTWRITEBYTECODE,boolean,services,no,systemd,"rss-sentiment-exporter;candle-collector;ollama-finetune"
HOME,path,services,no,systemd,"rss-sentiment-exporter;candle-collector;crypto-agent@;ollama-finetune"
TAPE_COMPONENT_QUALITY_PORT,integer,services,no,systemd,"tape-component-quality-exporter"
CHECK_INTERVAL,integer,services,no,systemd,"grafana-selfheal;dhcp-selfheal"
DHCP_SERVICE,string,services,no,systemd,"dhcp-selfheal"
LEASES_FILE,path,services,no,systemd,"dhcp-selfheal"
FIX_NFTABLES,path,services,no,systemd,"dhcp-selfheal"
DHCP_RANGE_START,string,services,no,systemd,"dhcp-selfheal"
DHCP_RANGE_END,string,services,no,systemd,"dhcp-selfheal"
MAX_STUCK_SECONDS,integer,services,no,systemd,"dhcp-selfheal"
MAX_RESTARTS_HOUR,integer,services,no,systemd,"grafana-selfheal;dhcp-selfheal"
CLEAR_CONFIG_FILE,string,services,no,systemd,"clear-agent@;clear-trading-agent"
ROUTE_NAME,string,services,no,systemd,"homelab-tape-log-drain-nextcloud;homelab-tape-log-drain-sg1"
ROUTE_TARGET_ROOT,path,services,no,systemd,"homelab-tape-log-drain-nextcloud;homelab-tape-log-drain-sg1"
PATH,path,services,no,systemd,"eddie-whatsapp-bot;crypto-agent@;github-agent;job-monitor;specialized_agents-dashboard;homelab-dashboard;rpa4all-validation"
WHATSAPP_NUMBER,string,services,no,python-config,"config"
WAHA_URL,url,services,no,systemd,"eddie-whatsapp-bot;eddie-expurgo"
ADMIN_NUMBERS,string,services,no,python-config,"config"
OLLAMA_PORT,integer,services,no,systemd,"github-agent"
FAIL_THRESHOLD,integer,services,no,systemd,"grafana-selfheal"
TEXTFILE_DIR,path,services,no,systemd,"grafana-selfheal"
BANKING_EXPORTER_PORT,integer,services,no,systemd,"banking-metrics-exporter"
OLLAMA_WARM_MODEL_GPU0,string,services,no,systemd,"ollama-warmup"
OLLAMA_WARM_MODEL_GPU1,string,services,no,systemd,"ollama-warmup"
BN_ACERVO_DEBUG_LOG_PATH,path,services,no,systemd,"bn-acervo-agent"
BN_ACERVO_HTTP_TRUST_ENV,boolean,services,no,systemd,"bn-acervo-agent"
VIRTUAL_ENV,path,services,no,systemd,"job-monitor"
CHECK_INTERVAL_MINUTES,integer,services,no,systemd,"job-monitor"
COMPATIBILITY_THRESHOLD,float,services,no,systemd,"job-monitor"
MAX_CHATS_PER_RUN,integer,services,no,systemd,"job-monitor"
MESSAGES_PER_CHAT,integer,services,no,systemd,"job-monitor"
OLLAMA_SENTIMENT_MODEL,string,services,no,systemd,"rss-sentiment-exporter"
OLLAMA_FALLBACK_MODEL,string,services,no,systemd,"rss-sentiment-exporter"
RSS_FETCH_INTERVAL,integer,services,no,systemd,"rss-sentiment-exporter"
RSS_SENTIMENT_WINDOW,integer,services,no,systemd,"rss-sentiment-exporter"
OLLAMA_HOST_GPU0,url,services,no,systemd,"ollama-finetune"
CUDA_VISIBLE_DEVICES,boolean,services,no,systemd,"ollama-gpu1;ollama-finetune"
PYTORCH_CUDA_ALLOC_CONF,string,services,no,systemd,"ollama-finetune"
GMAIL_DATA_DIR,path,services,no,systemd,"eddie-expurgo"
ADMIN_CHAT_ID,integer,services,no,systemd,"eddie-calendar;eddie-expurgo"
ADMIN_PHONE,integer,services,no,systemd,"eddie-expurgo"
NARRATOR_STATE_FILE,path,services,no,systemd,"tape-quality-ollama-narrator"
EXTENDED_METRICS_PORT,integer,services,no,systemd,"eddie_central_extended_metrics"
OLLAMA_LLM_LIBRARY,string,services,no,systemd,"ollama-gpu1"
OLLAMA_NUM_GPU,integer,services,no,systemd,"ollama-gpu1"
OLLAMA_KEEP_ALIVE,float,services,no,systemd,"ollama-gpu1"
OLLAMA_LOAD_TIMEOUT,string,services,no,systemd,"ollama-gpu1"
OLLAMA_PRELOAD_MODEL,string,services,no,systemd,"ollama-gpu1"
OLLAMA_KV_CACHE_TYPE,string,services,no,systemd,"ollama-gpu1"
OLLAMA_FLASH_ATTENTION,boolean,services,no,systemd,"ollama-gpu1"
OLLAMA_NUM_PARALLEL,boolean,services,no,systemd,"ollama-gpu1"
OLLAMA_MAX_LOADED_MODELS,boolean,services,no,systemd,"ollama-gpu1"
OLLAMA_GPU_OVERHEAD,integer,services,no,systemd,"ollama-gpu1"
OLLAMA_MODELS,path,services,no,systemd,"ollama-gpu1"
OLLAMA_DEBUG,string,services,no,systemd,"ollama-gpu1"
GGML_NUM_THREADS,integer,services,no,systemd,"ollama-gpu1"
OLLAMA_NUM_THREADS,integer,services,no,systemd,"ollama-gpu1"
OMP_NUM_THREADS,integer,services,no,systemd,"ollama-gpu1"
WAIT_SECONDS,integer,services,no,systemd,"protonvpn-boot-selfheal"
MAX_ATTEMPTS,integer,services,no,systemd,"protonvpn-boot-selfheal"
RETRY_DELAY,integer,services,no,systemd,"protonvpn-boot-selfheal"
WAHA_API,url,services,no,systemd,"eddie-calendar"
CALENDAR_REMINDER_MINUTES,string,services,no,systemd,"eddie-calendar"
CALENDAR_DAILY_DIGEST_HOUR,integer,services,no,systemd,"eddie-calendar"
HF_INFERENCE_ENABLED,string,services,no,python-config,"config"
HF_INFERENCE_BASE_URL,string,services,no,python-config,"config"
HF_IMAGE_MODEL,string,services,no,python-config,"config"
HF_RESOURCES_LIMIT,string,services,no,python-config,"config"
HF_TIMEOUT_SECONDS,string,services,no,python-config,"config"
OLLAMA_GPU1_ENABLED,string,services,no,python-config,"config"
OLLAMA_EMBED_URL,string,services,no,python-config,"config"
REMOTE_ORCHESTRATOR_ENABLED,string,services,no,python-config,"config"
HOMELAB_HOST,string,services,no,python-config,"configure_diretor_model;config"
HOMELAB_USER,string,services,no,python-config,"config"
HOMELAB_BASE_DIR,string,services,no,python-config,"config"
MEDIA_GEN_ENABLED,string,services,no,python-config,"config"
MEDIA_MODELS_DIR,string,services,no,python-config,"config"
DEV_AGENT_PROJECTS_DIR,string,services,no,python-config,"config"
DEV_AGENT_TRAINING_DIR,string,services,no,python-config,"config"
ROUTER_URL,string,services,no,python-config,"router_network_config"
ROUTER_USER,string,services,no,python-config,"router_network_config"
ROUTER_PASS,string,services,no,python-config,"router_network_config"
PANDAPLUS_DEVICE_ID,string,services,no,python-config,"config"
PANDAPLUS_ALLOWED_USERS,string,services,no,python-config,"config"
PANDAPLUS_OBSERVE_ONLY,string,services,no,python-config,"config"
PANDAPLUS_REPLY_PORT,string,services,no,python-config,"config"
PANDAPLUS_REQUEST_TTL,string,services,no,python-config,"config"
OPENWEBUI_URL,string,services,no,python-config,"configure_diretor_model"
GROUPS_0_NAME,string,services,no,yaml,"alert_rules;rpa4all-snapshot-alerts;ltfs-selfheal-rules;selfhealing_rules;rules"
GROUPS_0_INTERVAL,string,services,no,yaml,"alert_rules;rpa4all-snapshot-alerts;ltfs-selfheal-rules;selfhealing_rules;rules"
