operation_key,method,path,category,service,source,sensitive,status,owner,team,related_tables,locations
"POST /tasks/remediate-client-pending",POST,/tasks/remediate-client-pending,ops,specialized_agents/conube_agent,fastapi,no,active,conube,ops,"","specialized_agents/conube_agent.py:787"
"POST /tasks/remediate-pending-selenium",POST,/tasks/remediate-pending-selenium,ops,specialized_agents/conube_agent,fastapi,no,active,conube,ops,"","specialized_agents/conube_agent.py:896"
"GET /admin/logs",GET,/admin/logs,monitoring,specialized_agents/nextcloud_agent,fastapi,no,active,nextcloud,storage,"","specialized_agents/nextcloud_agent.py:1305"
"GET /api/learning-metrics",GET,/api/learning-metrics,monitoring,scripts/training,flask,no,active,grafana,observability,"","scripts/training/grafana_learning_dashboard.py:285"
"GET /dashboard/operational-summary",GET,/dashboard/operational-summary,monitoring,specialized_agents/conube_agent,fastapi,no,active,conube,ops,"","specialized_agents/conube_agent.py:776"
"GET /debug/communication/subscribers",GET,/debug/communication/subscribers,monitoring,specialized_agents/api,fastapi,no,active,api_server,platform,"","specialized_agents/api.py:712"
"GET /debug/logs",GET,/debug/logs,monitoring,specialized_agents/bn_acervo_agent,fastapi,no,active,bn_acervo,content,"","specialized_agents/bn_acervo_agent.py:4469"
"GET /reports/daily-summary",GET,/reports/daily-summary,monitoring,specialized_agents/conube_agent,fastapi,no,active,conube,ops,"","specialized_agents/conube_agent.py:745"
"GET /reports/daily-summary/cached",GET,/reports/daily-summary/cached,monitoring,specialized_agents/conube_agent,fastapi,no,active,conube,ops,"","specialized_agents/conube_agent.py:737"
"POST /alerts",POST,/alerts,monitoring,specialized_agents/api,fastapi,no,active,api_server,platform,"","specialized_agents/api.py:775;tools/alerting/alertmanager_telegram_webhook.py:153"
"GET /admin/status",GET,/admin/status,health,specialized_agents/nextcloud_agent,fastapi,no,active,nextcloud,storage,"","specialized_agents/nextcloud_agent.py:1282"
"GET /api/health",GET,/api/health,health,scripts/misc,flask,no,active,ssh_agent,infra,"","scripts/misc/ssh_agent.py:342;scripts/misc/dashboard.py:382"
"GET /api/status",GET,/api/status,health,scripts/misc,flask,no,active,scripts,unassigned,"","scripts/misc/github_agent_server.py:485"
"GET /authentik/status",GET,/authentik/status,health,tools/secrets_agent,fastapi,yes,active,secrets_agent,security,"","tools/secrets_agent/secrets_agent.py:599"
"GET /bw/status",GET,/bw/status,health,tools/secrets_agent,fastapi,no,active,secrets_agent,security,"","tools/secrets_agent/secrets_agent.py:580"
"GET /health",GET,/health,health,storage_portal_api,fastapi,no,active,storage_portal,storage,"","storage_portal_api.py:1505;specialized_agents/nextcloud_agent.py:1189;specialized_agents/wiki_agent.py:520;specialized_agents/bn_acervo_agent.py:4460;specialized_agents/api.py:132;specialized_agents/api.py:566;specialized_agents/cmdb_agent.py:1549;specialized_agents/conube_agent.py:692;site/code_runner_manager.py:365;site/app_patched.py:156;mt5_bridge/bridge_api.py:316;tools/alerting/alertmanager_telegram_webhook.py:195;tools/x_agent/x_agent.py:680;tools/secrets_agent/secrets_agent.py:570;tools/meeting_translator/server.py:113;deploy/printshare/app.py:25;scripts/misc/whatsapp_api.py:99;site/code_runner/app.py:175"
"GET /marketing/health",GET,/marketing/health,health,marketing/lead_capture_api,fastapi,no,active,marketing,growth,"marketing.leads;marketing.daily_metrics","marketing/lead_capture_api.py:363"
"GET /metrics",GET,/metrics,health,tools/x_agent,fastapi,no,active,x_agent,social,"","tools/x_agent/x_agent.py:693;tools/secrets_agent/secrets_agent.py:565"
"GET /status",GET,/status,health,specialized_agents/api,fastapi,no,active,api_server,platform,"","specialized_agents/api.py:649;specialized_agents/api.py:734;deploy/printshare/app.py:30;scripts/misc/whatsapp_api.py:83;specialized_agents/banking/routes.py:21"
"GET /tape/component-quality/status",GET,/tape/component-quality/status,health,specialized_agents/tape_routes,fastapi,no,active,tape,storage,"","specialized_agents/tape_routes.py:280"
"GET /tape/hba-test/status",GET,/tape/hba-test/status,health,specialized_agents/tape_routes,fastapi,no,active,tape,storage,"","specialized_agents/tape_routes.py:230"
"GET /tape/health",GET,/tape/health,health,specialized_agents/tape_routes,fastapi,no,active,tape,storage,"","specialized_agents/tape_routes.py:180"
"GET /{agent_id}/health",GET,/{agent_id}/health,health,specialized_agents/api,fastapi,no,active,api_server,platform,"","specialized_agents/api.py:695"
"HEAD /health",HEAD,/health,health,specialized_agents/api,fastapi,no,active,api_server,platform,"","specialized_agents/api.py:142"
"GET /admin/storage-diagnostics",GET,/admin/storage-diagnostics,storage,specialized_agents/nextcloud_agent,fastapi,no,active,nextcloud,storage,"","specialized_agents/nextcloud_agent.py:1289"
"GET /download/file/{filename}",GET,/download/file/{filename},storage,tools/x_agent,fastapi,no,active,x_agent,social,"","tools/x_agent/x_agent.py:870"
"GET /files/download",GET,/files/download,storage,specialized_agents/nextcloud_agent,fastapi,no,active,nextcloud,storage,"","specialized_agents/nextcloud_agent.py:1256"
"GET /files/list",GET,/files/list,storage,specialized_agents/nextcloud_agent,fastapi,no,active,nextcloud,storage,"","specialized_agents/nextcloud_agent.py:1219"
"GET /media/resources",GET,/media/resources,storage,specialized_agents/api,fastapi,no,active,api_server,platform,"","specialized_agents/api.py:175"
"GET /portal",GET,/portal,storage,scripts/misc,flask,no,active,scripts,unassigned,"","scripts/misc/github_agent_server.py:340"
"GET /share/list",GET,/share/list,storage,specialized_agents/nextcloud_agent,fastapi,no,active,nextcloud,storage,"","specialized_agents/nextcloud_agent.py:1276"
"GET /storage",GET,/storage,storage,marketing/app,fastapi,no,active,marketing,growth,"","marketing/app.py:64"
"GET /storage/portal/bootstrap",GET,/storage/portal/bootstrap,storage,storage_portal_api,fastapi,no,active,storage_portal,storage,"public.contracts;public.portal_users;public.api_tokens","storage_portal_api.py:1446"
"GET /storage/portal/files",GET,/storage/portal/files,storage,storage_portal_api,fastapi,no,active,storage_portal,storage,"public.contracts","storage_portal_api.py:1470"
"GET /tape/component-quality/report",GET,/tape/component-quality/report,storage,specialized_agents/tape_routes,fastapi,no,active,tape,storage,"","specialized_agents/tape_routes.py:288"
"GET /tape/hba-test/report",GET,/tape/hba-test/report,storage,specialized_agents/tape_routes,fastapi,no,active,tape,storage,"","specialized_agents/tape_routes.py:238"
"PATCH /storage/portal/users/{user_id}",PATCH,/storage/portal/users/{user_id},storage,storage_portal_api,fastapi,no,active,storage_portal,storage,"public.portal_users;public.contracts","storage_portal_api.py:1464"
"POST /files/list",POST,/files/list,storage,specialized_agents/nextcloud_agent,fastapi,no,active,nextcloud,storage,"","specialized_agents/nextcloud_agent.py:1225"
"POST /files/mkdir",POST,/files/mkdir,storage,specialized_agents/nextcloud_agent,fastapi,no,active,nextcloud,storage,"","specialized_agents/nextcloud_agent.py:1232"
"POST /files/upload",POST,/files/upload,storage,specialized_agents/nextcloud_agent,fastapi,no,active,nextcloud,storage,"","specialized_agents/nextcloud_agent.py:1239"
"POST /media/image/generate",POST,/media/image/generate,storage,specialized_agents/api,fastapi,no,active,api_server,platform,"","specialized_agents/api.py:198"
"POST /occ",POST,/occ,storage,specialized_agents/nextcloud_agent,fastapi,no,active,nextcloud,storage,"","specialized_agents/nextcloud_agent.py:1210"
"POST /portal/notify",POST,/portal/notify,storage,scripts/misc,flask,no,active,scripts,unassigned,"","scripts/misc/github_agent_server.py:357"
"POST /share/create",POST,/share/create,storage,specialized_agents/nextcloud_agent,fastapi,no,active,nextcloud,storage,"","specialized_agents/nextcloud_agent.py:1263"
"POST /storage/contracts/finalize",POST,/storage/contracts/finalize,storage,storage_portal_api,fastapi,no,active,storage_portal,storage,"public.contracts;public.portal_users;public.payments","storage_portal_api.py:1500"
"POST /storage/portal/files/folder",POST,/storage/portal/files/folder,storage,storage_portal_api,fastapi,no,active,storage_portal,storage,"","storage_portal_api.py:1479"
"POST /storage/portal/files/upload",POST,/storage/portal/files/upload,storage,storage_portal_api,fastapi,no,active,storage_portal,storage,"public.payments;public.contract","storage_portal_api.py:1484"
"POST /storage/portal/payments",POST,/storage/portal/payments,storage,storage_portal_api,fastapi,no,active,storage_portal,storage,"public.payments;public.contracts;public.portal_users","storage_portal_api.py:1494"
"POST /storage/portal/subusers",POST,/storage/portal/subusers,storage,storage_portal_api,fastapi,no,active,storage_portal,storage,"public.portal_users;public.contracts","storage_portal_api.py:1458"
"POST /storage/request-access",POST,/storage/request-access,storage,storage_portal_api,fastapi,no,active,storage_portal,storage,"public.contracts;public.portal_users","storage_portal_api.py:1435"
"POST /tape/component-quality",POST,/tape/component-quality,storage,specialized_agents/tape_routes,fastapi,no,active,tape,storage,"","specialized_agents/tape_routes.py:249"
"POST /tape/hba-test",POST,/tape/hba-test,storage,specialized_agents/tape_routes,fastapi,no,active,tape,storage,"","specialized_agents/tape_routes.py:191"
"POST /vpn/install",POST,/vpn/install,storage,specialized_agents/nextcloud_agent,fastapi,no,active,nextcloud,storage,"","specialized_agents/nextcloud_agent.py:1354"
"POST /vpn/provision",POST,/vpn/provision,storage,specialized_agents/nextcloud_agent,fastapi,no,active,nextcloud,storage,"","specialized_agents/nextcloud_agent.py:1318"
"GET /admin/users",GET,/admin/users,admin,specialized_agents/nextcloud_agent,fastapi,no,active,nextcloud,storage,"","specialized_agents/nextcloud_agent.py:1295"
"GET /api/jobs",GET,/api/jobs,meetings,tools/meeting_translator,fastapi,no,active,meeting_translator,productivity,"","tools/meeting_translator/server.py:98"
"GET /api/jobs/{job_id}",GET,/api/jobs/{job_id},meetings,tools/meeting_translator,fastapi,no,active,meeting_translator,productivity,"","tools/meeting_translator/server.py:104"
"GET /jobs/{job_id}",GET,/jobs/{job_id},meetings,specialized_agents/bn_acervo_agent,fastapi,no,active,bn_acervo,content,"","specialized_agents/bn_acervo_agent.py:4615"
"POST /api/join",POST,/api/join,meetings,tools/meeting_translator,fastapi,no,active,meeting_translator,productivity,"","tools/meeting_translator/server.py:74"
